Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse Image,Has Reverse Image,AI_Audited_Status
coin,Lincoln Cents,One Cent,2006,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2006,D,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2006,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2007,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2007,P,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2007,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2007,D,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2007,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2008,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2008,P,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2008,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2008,D,Satin Finish,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,2008,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1934,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1934,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1935,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1935,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1935,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1936,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1936,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1936,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1936,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1937,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1937,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1937,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1938,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1938,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1938,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1938,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1939,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1939,P,Doubled Die Reverse,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1939,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1939,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1940,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1940,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1940,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1941,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1941,P,Doubled Die Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1941,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1941,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1941,S,Small S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1941,S,Large S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1942,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1942,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1942,D,D over Horizontal D,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1942,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1943,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1944,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1944,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1944,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1944,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1944,S,S over D,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1945,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1945,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1945,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1945,S,Micro S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1946,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1946,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1946,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1946,S,S over D,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1947,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1947,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1947,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1948,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1948,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1948,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1949,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1949,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1949,S,,Yes,Yes,Yes,Yes
