Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse,Has Reverse,Grok Verified
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Puerto Rico)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Isabella Quarter"" (Columbian Exposition Commemorative)",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln Cent"" (Birth and Early Childhood)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar"" (with motto, with date arrows)",Yes,No,No,No
coin,Half Dollar,Half Dime,,,"½ Dime ""Seated Liberty Half Dime"" (arrows at date)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Kennedy Half Dollar""",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln Cent"" (Formative Years)",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Native American Dollar"" (Spread of Three Sisters Agriculture)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Indian Head),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (John Tyler),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (William Henry Harrison),Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Guam)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (James K. Polk),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Zachary Taylor),Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln Cent"" (Professional Life)",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln Cent"" (Presidency)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Ulysses S. Grant),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Battle of Gettysburg),Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (American Samoa)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (U.S. Virgin Islands)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Northern Mariana Islands)",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Roosevelt Dime"" (Silver Proof)",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Seated Liberty Dime"" (with stars, no arrows)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Alabama Centennial),Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Oregon Trail Memorial),Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Native American Dollar"" (Haudenosaunee — Great Law of Peace)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Barber Half Dollar""",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (Texas Independence),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Millard Fillmore),Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Draped Bust Dollar"" (small eagle)",Yes,No,No,No
coin,Dollar,Five Dollars,,,"5 Dollars ""American Gold Eagle"" (Bullion Coinage)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Barber Quarter""",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"50 Cents / ½ Dollar ""Capped Bust Half Dollar""",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Kennedy Half Dollar"" (40% Silver)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Kennedy Half Dollar"" (Silver .900)",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln Cent - Shield Reverse""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Hot Springs, Arkansas)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Franklin Pierce),Yes,No,No,No
coin,Half Dollar,Five Cents,,,"5 Cents ""Liberty Cap Half Dime""",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Seated Liberty"" (without motto)",Yes,No,No,No
coin,Quarter,Half Dollar,,,½ Dollar (Washington-Carver),Yes,No,No,No
coin,Quarter,Two and a Half Dollars,,,"2½ Dollars ""Coronet Head - Quarter Eagle""",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Georgia - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Delaware - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Pennsylvania - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Jersey - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Connecticut - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Massachusetts - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Maryland - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (South Carolina - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Hampshire - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Virginia - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New York - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (North Carolina - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Rhode Island - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Vermont - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Kentucky - Silver Proof)",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Flying Eagle Cent""",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Liberty Head / Matron Head"" (Type 1)",Yes,No,No,No
coin,Dollar,One Dime,,,"1 Dime ""Seated Liberty Dime"" (with stars and date arrows)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (James Buchanan),Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Ohio - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Tennessee - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Louisiana - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Indiana - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Mississippi - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Illinois - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Alabama - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Maine - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Missouri - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Arkansas - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Michigan - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Florida - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Texas - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Iowa - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Wisconsin - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (California - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Minnesota - Silver Proof)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Shield Nickel""",Yes,No,No,No
coin,Half Dollar,Half Dime,,,"½ Dime ""Seated Liberty Half Dime"" (without stars)",Yes,No,No,No
coin,Half Dollar,Half Dime,,,"½ Dime ""Seated Liberty Half Dime"" (with stars, no arrows)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Oregon - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Kansas - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (West Virginia - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Nevada - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Nebraska - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Colorado - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (North Dakota - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (South Dakota - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Montana - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Washington - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Idaho - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Wyoming - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Utah - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Oklahoma - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Mexico - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Arizona - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Alaska - Silver Proof)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Hawaii - Silver Proof)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Capped Bust Half Dollar"" (HALF DOL. below eagle)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar""",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar"" (with date arrows, rays around eagle)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar"" (with date arrows)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar"" (without date arrows)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Yellowstone, Wyoming)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Yosemite, California)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar"" (with motto)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Seated Liberty Half Dollar"" (without date arrows; with motto)",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Eisenhower Dollar"" (Silver Collectors' Issue)",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Eisenhower Bicentennial Dollar"" (Silver Collectors' Issue)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar (World Cup Soccer),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (XXIII Olympiad Los Angeles),Yes,No,No,No
coin,Half Dollar,One Dollar,,,1 Dollar (Atlanta Olympics - Track and Field),Yes,No,No,No
coin,Dollar,Ten Dollars,,,10 Dollars (Coronet Head - No motto),Yes,No,No,No
coin,Dollar,Ten Dollars,,,10 Dollars (Coronet Head - With motto),Yes,No,No,No
coin,Dollar,One Dime,,,1 Dime - Kalākaua I,Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar - Kalākaua I,Yes,No,No,No
coin,Dollar,One Cent,,,1 Cent - Kamehameha III,Yes,No,No,No
coin,Dollar,One Dollar,,,⅛ Dollar - Kalākaua I,Yes,No,No,No
coin,Half Dollar,Half Dollar,,,½ Dollar - Kalākaua I,Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Grand Canyon, Arizona)",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Statue of Liberty),Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Trade Dollar""",Yes,No,No,No
coin,Dollar,One Dollar,,,1 Dollar (Abraham Lincoln),Yes,No,No,No
coin,Dollar,One Dollar,,,1 Maui Trade Dollar,Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Draped Bust Cent""",Yes,No,No,No
coin,Dollar,One Cent,,,1 Cent - Washington “Unity States”,Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Capped Bust - Classic Head Cent""",Yes,No,No,No
coin,Half Dollar,Half Cent,,,"½ Cent ""Draped Bust - Half Cent""",Yes,No,No,No
coin,Dollar,One Dollar,,,"Bentonian Currency, Mint Drop",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Mount Hood, Oregon)",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar - North Dakota Diamond Jubilee (Bismarck, North Dakota)",Yes,No,No,No
