original,new_file,attribution
2025-Morgan-Proof-Reverse.jpg,attributed_2025-Morgan-Proof-Reverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-silver-uncirculated-reverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-silver-uncirculated-reverse.jpg,United States Mint image
2025-american-eagle-silver-proof-navy-privy-obverse.jpg,attributed_2025-american-eagle-silver-proof-navy-privy-obverse.jpg,United States Mint image
SemiQ-Revolutionary-War-Reverse-Unc.jpg,attributed_SemiQ-Revolutionary-War-Reverse-Unc.jpg,United States Mint image
American-Eagle-Gold-Proof-Obverse (1).jpg,attributed_American-Eagle-Gold-Proof-Obverse (1).jpg,United States Mint image
2025-Peace-Proof-Reverse (1).jpg,attributed_2025-Peace-Proof-Reverse (1).jpg,United States Mint image
Walking-Liberty-Gold-Obverse (1).jpg,attributed_Walking-Liberty-Gold-Obverse (1).jpg,United States Mint image
SemiQ-Declaration-Reverse-Unc (1).jpg,attributed_SemiQ-Declaration-Reverse-Unc (1).jpg,United States Mint image
2023-american-eagle-platinum-one-ounce-bullion-coin-obverse.jpg,attributed_2023-american-eagle-platinum-one-ounce-bullion-coin-obverse.jpg,United States Mint image
2025-native-american-one-dollar-uncirculated-coin-reverse.jpg,attributed_2025-native-american-one-dollar-uncirculated-coin-reverse.jpg,United States Mint image
American-Eagle-Silver-Proof-Privy-Obverse.jpg,attributed_American-Eagle-Silver-Proof-Privy-Obverse.jpg,United States Mint image
Omega-Penny-Obverse-Denver (1).jpg,attributed_Omega-Penny-Obverse-Denver (1).jpg,United States Mint image
SemiQ-Gettysburg-Reverse-Unc (1).jpg,attributed_SemiQ-Gettysburg-Reverse-Unc (1).jpg,United States Mint image
2025-american-eagle-silver-proof-usmc-privy-reverse (1).jpg,attributed_2025-american-eagle-silver-proof-usmc-privy-reverse (1).jpg,United States Mint image
SemiQ-Dime-Obverse-Unc-P (1).jpg,attributed_SemiQ-Dime-Obverse-Unc-P (1).jpg,United States Mint image
2023-american-eagle-palladium-one-ounce-bullion-coin-reverse.jpg,attributed_2023-american-eagle-palladium-one-ounce-bullion-coin-reverse.jpg,United States Mint image
2025-american-eagle-gold-one-ounce-uncirculated-coin-reverse.jpg,attributed_2025-american-eagle-gold-one-ounce-uncirculated-coin-reverse.jpg,United States Mint image
2025-american-women-quarters-coin-juliette-gordon-low-proof-reverse (1).jpg,attributed_2025-american-women-quarters-coin-juliette-gordon-low-proof-reverse (1).jpg,United States Mint image
2025-american-buffalo-one-ounce-gold-proof-coin-reverse (1).jpg,attributed_2025-american-buffalo-one-ounce-gold-proof-coin-reverse (1).jpg,United States Mint image
2025-lincoln-penny-uncirculated-obverse-denver (1).jpg,attributed_2025-lincoln-penny-uncirculated-obverse-denver (1).jpg,United States Mint image
American-Innovation-Unc-Reverse-Iowa (1).jpg,attributed_American-Innovation-Unc-Reverse-Iowa (1).jpg,United States Mint image
American-Innovation-Unc-Obverse.jpg,attributed_American-Innovation-Unc-Obverse.jpg,United States Mint image
SemiQ-Constitution-Obverse-Unc-P.jpg,attributed_SemiQ-Constitution-Obverse-Unc-P.jpg,United States Mint image
Mercury-Dime-Gold-Reverse (1).jpg,attributed_Mercury-Dime-Gold-Reverse (1).jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-clad-proof-obverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-clad-proof-obverse (1).jpg,United States Mint image
2025-american-eagle-silver-proof-navy-privy-reverse.jpg,attributed_2025-american-eagle-silver-proof-navy-privy-reverse.jpg,United States Mint image
2025-jefferson-nickel-uncirculated-obverse-denver.jpg,attributed_2025-jefferson-nickel-uncirculated-obverse-denver.jpg,United States Mint image
2025-american-eagle-silver-proof-navy-privy-obverse (1).jpg,attributed_2025-american-eagle-silver-proof-navy-privy-obverse (1).jpg,United States Mint image
2025-american-eagle-palladium-reverse-proof-reverse (1).jpg,attributed_2025-american-eagle-palladium-reverse-proof-reverse (1).jpg,United States Mint image
Omega-Penny-Obverse-Denver.jpg,attributed_Omega-Penny-Obverse-Denver.jpg,United States Mint image
American-Buffalo-Gold-Bullion-Obverse (1).jpg,attributed_American-Buffalo-Gold-Bullion-Obverse (1).jpg,United States Mint image
2025-roosevelt-dime-uncirculated-reverse (1).jpg,attributed_2025-roosevelt-dime-uncirculated-reverse (1).jpg,United States Mint image
2025-roosevelt-dime-uncirculated-obverse-philadelphia.jpg,attributed_2025-roosevelt-dime-uncirculated-obverse-philadelphia.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-uncirculated-reverse.jpg,United States Mint image
2025-american-eagle-platinum-proof-coin-obverse (1).jpg,attributed_2025-american-eagle-platinum-proof-coin-obverse (1).jpg,United States Mint image
